GT	ChatGPT-3.5	ChatGPT-4	Gemini-1.5	LLAMA3-70B	LLAMA3-8B	gpt4.1-mini	gpt4o-mini
CWE-863	CWE-119	CWE-787	CWE-119	CWE-416	CWE-125	CWE-787	CWE-119
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-668	CWE-285	CWE-668	CWE-200	CWE-668	CWE-284	CWE-285	CWE-284
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-290	CWE-290	CWE-290	CWE-290	CWE-294	CWE-384	CWE-290	CWE-287
CWE-77	CWE-94	CWE-94	CWE-20	CWE-502	CWE-94	CWE-94	CWE-94
CWE-476	CWE-134	CWE-134	CWE-134	CWE-134	CWE-682	CWE-134	CWE-134
CWE-120	CWE-119	CWE-119	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-404	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-20	CWE-400
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434
CWE-434	CWE-79	CWE-79	CWE-79	CWE-434	CWE-79	CWE-79	CWE-20
CWE-787	CWE-400	CWE-20	CWE-20	CWE-400	CWE-400	CWE-20	CWE-20
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-287	CWE-287	CWE-287	CWE-287	CWE-287	CWE-287	CWE-287	CWE-287
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-787	CWE-121	CWE-121	CWE-121	CWE-120	CWE-120	CWE-121	CWE-121
CWE-347	CWE-347	CWE-347	CWE-347	CWE-347	CWE-327	CWE-347	CWE-347
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-190	CWE-190	CWE-680	CWE-122	CWE-190	CWE-190	CWE-190	CWE-190
CWE-77	CWE-78	CWE-78	CWE-77	CWE-78	CWE-78	CWE-78	CWE-77
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-502	CWE-502	CWE-502	CWE-502	CWE-502	CWE-20	CWE-502	CWE-502
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-434
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-20
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-436	CWE-113	CWE-113	CWE-494	CWE-113	CWE-20	CWE-113	CWE-74
CWE-755	CWE-347	CWE-323	CWE-664	CWE-326	CWE-400	CWE-20	CWE-703
CWE-787	CWE-787	CWE-787	CWE-120	CWE-787	CWE-787	CWE-787	CWE-787
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-119	CWE-122	CWE-122
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-121
CWE-346	CWE-269	CWE-285	CWE-269	CWE-250	CWE-269	CWE-269	CWE-20
CWE-77	CWE-78	CWE-77	CWE-78	CWE-78	CWE-78	CWE-77	CWE-77
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-404	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-287	CWE-287	CWE-287	Error	CWE-184	CWE-20	CWE-287	CWE-287
CWE-190	CWE-190	CWE-190	Error	CWE-122	CWE-119	CWE-190	CWE-190
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-20
CWE-352	CWE-352	CWE-79	CWE-79	CWE-352	CWE-79	CWE-352	CWE-352
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-78	CWE-78	CWE-78	CWE-77	CWE-78	CWE-78	CWE-78	CWE-78
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-611	CWE-611	CWE-611	CWE-611	CWE-611	CWE-611	CWE-611	CWE-611
CWE-787	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-22	CWE-434	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-401	CWE-399	CWE-401	CWE-401	CWE-401	CWE-401	CWE-401	CWE-401
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-20	CWE-79	CWE-20
CWE-787	CWE-121	CWE-120	CWE-121	CWE-120	CWE-120	CWE-121	CWE-121
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-119	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-404	CWE-20	CWE-400	CWE-400	CWE-400	CWE-400	CWE-20	CWE-20
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-862	CWE-862	CWE-862	CWE-862	CWE-284	CWE-285	CWE-285	CWE-285
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-24	CWE-22	CWE-22	Error	CWE-23	CWE-22	CWE-22	CWE-22
CWE-327	CWE-295	CWE-16	CWE-16	CWE-319	CWE-327	CWE-295	CWE-20
CWE-119	CWE-787	CWE-787	CWE-787	CWE-416	CWE-119	CWE-787	CWE-787
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-121	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122
CWE-73	CWE-117	CWE-117	CWE-117	CWE-117	CWE-20	CWE-117	CWE-117
CWE-321	CWE-321	CWE-321	CWE-798	CWE-321	CWE-327	CWE-321	CWE-321
CWE-131	CWE-404	CWE-755	CWE-789	CWE-824	CWE-20	CWE-391	CWE-754
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-203	CWE-200	CWE-203	CWE-203	CWE-204	CWE-306	CWE-203	CWE-203
CWE-918	CWE-200	CWE-200	CWE-200	CWE-209	CWE-532	CWE-200	CWE-200
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-668	CWE-125	CWE-404	CWE-401	CWE-131	CWE-20	CWE-772	CWE-772
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-843	CWE-843	CWE-843	Error	CWE-843	CWE-476	CWE-843	CWE-843
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-290	CWE-345	CWE-290	CWE-20	CWE-294	CWE-285	CWE-287	CWE-20
CWE-787	CWE-119	CWE-120	CWE-120	CWE-120	CWE-119	CWE-120	CWE-120
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-787	CWE-787	CWE-787	CWE-120	CWE-787	CWE-787	CWE-787	CWE-787
CWE-22	CWE-22	CWE-22	CWE-20	CWE-22	CWE-22	CWE-22	CWE-22
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-787	CWE-787	CWE-787	CWE-787	CWE-787	CWE-787	CWE-787	CWE-787
CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-755	CWE-119	CWE-460	CWE-14	CWE-824	CWE-20	CWE-457	CWE-758
CWE-434	CWE-434	CWE-434	Error	CWE-434	CWE-434	CWE-434	CWE-434
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-125	CWE-119	CWE-125	CWE-125	CWE-125	CWE-399	CWE-125	CWE-125
CWE-362	CWE-416	CWE-362	CWE-416	CWE-416	CWE-416	CWE-362	CWE-362
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-77	CWE-78	CWE-78	Error	CWE-78	CWE-78	CWE-77	CWE-77
CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125	CWE-125
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-434	CWE-20	CWE-79	CWE-79
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-307	CWE-285	CWE-307	CWE-307	CWE-307	CWE-287	CWE-307	CWE-307
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-125	CWE-20	CWE-20	CWE-400	CWE-400	CWE-399	CWE-20	CWE-20
CWE-22	CWE-22	CWE-22	CWE-22	CWE-23	CWE-22	CWE-22	CWE-22
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80	CWE-79	CWE-20
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-20	CWE-79	CWE-20
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-347	CWE-347	CWE-347	CWE-347	CWE-347	CWE-327	CWE-347	CWE-347
CWE-22	CWE-22	CWE-22	Error	CWE-23	CWE-22	CWE-22	CWE-22
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-20
CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416	CWE-416
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-77	CWE-77
CWE-639	CWE-285	CWE-285	CWE-862	CWE-284	CWE-285	CWE-284	CWE-284
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-77
CWE-787	CWE-787	CWE-787	CWE-122	CWE-787	CWE-120	CWE-787	CWE-787
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-601	CWE-601	CWE-601	CWE-601	CWE-601	CWE-601	CWE-601	CWE-601
CWE-532	CWE-532	CWE-532	CWE-532	CWE-532	CWE-532	CWE-532	CWE-200
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80	CWE-79	CWE-79
CWE-119	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122
CWE-22	CWE-918	CWE-284	CWE-434	CWE-73	CWE-22	CWE-200	CWE-20
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-798	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-287	CWE-20
CWE-269	CWE-22	CWE-284	CWE-276	CWE-388	CWE-78	CWE-732	CWE-284
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918	CWE-918
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-77	CWE-77
CWE-639	CWE-200	CWE-284	CWE-284	CWE-200	CWE-287	CWE-284	CWE-284
CWE-119	CWE-119	CWE-119	CWE-20	CWE-119	CWE-20	CWE-125	CWE-119
CWE-787	CWE-400	CWE-20	CWE-20	CWE-400	CWE-400	CWE-20	CWE-20
CWE-787	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122	CWE-122
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190	CWE-190
CWE-787	CWE-121	CWE-121	CWE-121	CWE-121	CWE-120	CWE-121	CWE-121
CWE-476	CWE-476	CWE-476	CWE-20	CWE-476	CWE-476	CWE-476	CWE-476
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-94	CWE-79	CWE-79
CWE-908	CWE-119	CWE-457	CWE-20	CWE-457	CWE-665	CWE-457	CWE-457
CWE-22	CWE-434	CWE-22	CWE-2	CWE-22	CWE-22	CWE-22	CWE-20
CWE-426	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400	CWE-400
CWE-862	CWE-285	CWE-284	CWE-284	CWE-284	CWE-306	CWE-284	CWE-284
CWE-639	CWE-639	CWE-639	CWE-639	CWE-639	CWE-668	CWE-639	CWE-639
CWE-798	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20	CWE-20
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-787	CWE-787	CWE-787	CWE-120	CWE-787	CWE-120	CWE-787	CWE-787
CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-94	CWE-79	CWE-79
CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-94	CWE-79	CWE-79
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-434	CWE-434	CWE-434	CWE-464	CWE-434	CWE-434	CWE-434	CWE-20
CWE-284	CWE-284	CWE-284	CWE-284	CWE-284	CWE-284	CWE-284	CWE-284
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-80	CWE-79	CWE-79
CWE-863	CWE-284	CWE-284	CWE-862	CWE-284	CWE-20	CWE-284	CWE-284
CWE-346	CWE-345	CWE-346	CWE-352	CWE-20	CWE-601	CWE-346	CWE-346
CWE-327	CWE-330	CWE-331	CWE-327	CWE-321	CWE-521	CWE-330	CWE-330
CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79	CWE-79
CWE-787	CWE-119	CWE-119	CWE-120	CWE-122	CWE-119	CWE-122	CWE-119
CWE-862	CWE-285	CWE-862	CWE-862	CWE-284	CWE-285	CWE-285	CWE-285
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-862	CWE-285	CWE-284	CWE-862	CWE-284	CWE-306	CWE-285	CWE-285
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-120	CWE-119	CWE-119	CWE-120	CWE-120	CWE-120	CWE-120	CWE-120
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89	CWE-89
CWE-79	CWE-79	CWE-79	Error	CWE-79	CWE-80	CWE-79	CWE-79
CWE-862	CWE-352	CWE-284	CWE-862	CWE-352	CWE-352	CWE-862	CWE-284
CWE-434	CWE-434	CWE-434	CWE-434	CWE-434	CWE-22	CWE-434	CWE-20
CWE-787	CWE-121	CWE-121	Error	CWE-121	CWE-120	CWE-121	CWE-121
CWE-787	CWE-400	CWE-400	CWE-400	CWE-789	CWE-119	CWE-770	CWE-789
CWE-79	CWE-285	CWE-284	CWE-79	CWE-862	CWE-20	CWE-285	CWE-284
CWE-502	CWE-79	CWE-502	Error	CWE-502	CWE-502	CWE-502	CWE-502
CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78	CWE-78
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352	CWE-352
